PROC_ID	PT_FRIENDLY_NAME
91	
133	
147	
678	
684	
828	
7080	
7084	
10226	
13199	Insertion of needle into vein for collection of blood sample
19722	Blood test, basic group of blood chemicals (Calcium, total)
19732	Blood test, lipids (cholesterol and triglycerides)
20302	Hemoglobin A1C level
22128	Administration of vaccine
23660	Established patient office or other outpatient visit, 20-29 minutes
23662	Established patient office or other outpatient visit, 30-39 minutes
23868	Established patient periodic preventive medicine examination (18-39 years)
23870	Established patient periodic preventive medicine examination (40-64 years)
33694	
33774	
33946	
34691	
34693	
35289	
42500	
64768	
71168	
79022	
87356	
96431	Influenza vaccine, quadrivalent, preservative free, 0.5 mL dosage
99974	
104664	
107741	
127252	
