DX_ID	DX_NAME	PAT_FRIENDLY_TEXT
187132	Screening for hyperlipidemia	
192858	Preventative health care	
462008	Headache	
462273	Unspecified visual disturbance	
462313	Postconcussional syndrome	
462638	Epigastric pain	
463037	Nausea	
463437	Essential (primary) hypertension	
260690	Post concussion syndrome	
212474	Nevus	
284018	Late effect of traumatic injury to brain	
442362	Post-concussion headache	
444804	Encounter to establish care	
523377	Melanocytic nevi of left upper limb, including shoulder	
532923	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	
94362	Dyspepsia	
108212	Primary hypertension	
508450	Striking against or struck by other objects, initial encounter	
508452	Striking against or struck by other objects, sequela	
509172	Other cause of strike by thrown, projected or falling object, initial encounter	
513611	Encounter for screening for diabetes mellitus	
513616	Encounter for screening for lipoid disorders	
513919	Gastro-esophageal reflux disease without esophagitis	
514181	Encounter for general adult medical examination without abnormal findings	
514235	Encounter for immunization	
1236545	Lipoma of head	
15362	Screening for diabetes mellitus	
70859	Gastroesophageal reflux disease	
468251	Unspecified intracranial injury with loss of consciousness of unspecified duration, sequela	
468430	Unspecified injury of head, initial encounter	
470251	Concussion without loss of consciousness, initial encounter	
1177374	Traumatic injury of head, initial encounter	
1181154	Gastroesophageal reflux disease, esophagitis presence not specified	
