HM_PLAN_ID	HM_PLAN_NAME
6	Cholera Vaccine
13	Meningococcal B Vaccine
66	HPV Vaccine (9-26YO)
69	Zoster (Shingles) Vaccine 50+
73	Hepatitis C Screening (DOB 1945-1965 or at High Risk)
81	Hepatitis A Vaccine
82	Hepatitis B Vaccine 0-60y
83	IPV Vaccine
94	Japanese Encephalitis Vaccine
95	Typhoid Vaccine
96	Rabies Vaccine
97	Yellow Fever Vaccine
105	Annual Wellness Visit (18-49 yrs)
133	Influenza Vaccine
136	Pneumococcal Vaccines 0-64 yo
146	Cholesterol Screening-Every 5 Yrs
149	COVID-19 Vaccine: Recipient of 1+ Dose
163	RSV < 20 Months
164	COVID-19 Vaccine: Age 6 mo-64 years
183	Orthopoxvirus Health Maintenance
2100000006	HIB Vaccine
2100000007	Tetanus/Pertussis Vaccine Teen/Adult
2100000008	Meningococcal Conjugate Vaccine
