RECORD_ID	LNC_CODE	LNC_LONG_NAME
3873	13457-7	Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation
6827	16128-1	Hepatitis C virus Ab [Presence] in Serum
7800	17861-6	Calcium [Mass/volume] in Serum or Plasma
9081	18182-6	Osmolality of Serum or Plasma by calculation
11223	2028-9	Carbon dioxide, total [Moles/volume] in Serum or Plasma
11751	2075-0	Chloride [Moles/volume] in Serum or Plasma
11865	2085-9	Cholesterol in HDL [Mass/volume] in Serum or Plasma
12010	2093-3	Cholesterol [Mass/volume] in Serum or Plasma
12716	2160-0	Creatinine [Mass/volume] in Serum or Plasma
14739	2345-7	Glucose [Mass/volume] in Serum or Plasma
15388	24331-1	Lipid 1996 panel - Serum or Plasma
15721	24321-2	Basic metabolic 2000 panel - Serum or Plasma
17167	2571-8	Triglyceride [Mass/volume] in Serum or Plasma
18994	27353-2	Glucose mean value [Mass/volume] in Blood Estimated from glycated hemoglobin
19932	2823-3	Potassium [Moles/volume] in Serum or Plasma
21291	2951-2	Sodium [Moles/volume] in Serum or Plasma
22904	3094-0	Urea nitrogen [Mass/volume] in Serum or Plasma
22930	3097-3	Urea nitrogen/Creatinine [Mass Ratio] in Serum or Plasma
25260	33037-3	Anion gap in Serum or Plasma
28842	36296-2	XR Ankle - left 3 Views
38841	4548-4	Hemoglobin A1c/Hemoglobin.total in Blood
73346	77147-7	Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)
80688	9830-1	Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma
91394	94533-7	SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection
